note_number,duration,break_s,disttomax,start_time,end_time,rms,energy,peaktopeak,peak_freq_mean,peak_ampl_mean,min_freq_mean,max_freq_mean,bandw_mean,quart_25_mean,quart_50_mean,quart_75_mean,entropy_mean,filename,call_duration,gen_notes,midden
1,0.01,_,0,0.13,0.14,53.04,8.59E-07,0.1152,4310,47.64,650,19400,18750,4870,12000,15090,0.707,C:\Users\Bret Pasch\Desktop\Nikki_sq_rattles\1133\1275_1133_02082025_0838.wav,7.142,,1133
2,0.01,0.04,0.01,0.19,0.2,63.37,9.27E-06,0.2067,4310,51.91,2710,15650,12930,4210,9560,13120,0.548,C:\Users\Bret Pasch\Desktop\Nikki_sq_rattles\1133\1275_1133_02082025_0838.wav,7.142,,1133
3,0.01,0.04,0,0.24,0.25,64.19,1.12E-05,0.1999,3560,52.93,3000,15280,12280,3650,4780,12280,0.43,C:\Users\Bret Pasch\Desktop\Nikki_sq_rattles\1133\1275_1133_02082025_0838.wav,7.142,,1133
4,0.01,0.05,0,0.3,0.32,62.74,8.02E-06,0.2136,11620,54.69,840,19780,18930,4870,11710,15370,0.726,C:\Users\Bret Pasch\Desktop\Nikki_sq_rattles\1133\1275_1133_02082025_0838.wav,7.142,,1133
5,0.01,0.04,0,0.36,0.37,64.3,1.15E-05,0.2722,11430,60.07,930,17810,16870,4680,11430,14250,0.627,C:\Users\Bret Pasch\Desktop\Nikki_sq_rattles\1133\1275_1133_02082025_0838.wav,7.142,,1133
6,0.01,0.04,0,0.41,0.42,64.87,1.31E-05,0.2458,3650,58.35,3090,17710,14620,3840,11250,14340,0.551,C:\Users\Bret Pasch\Desktop\Nikki_sq_rattles\1133\1275_1133_02082025_0838.wav,7.142,,1133
7,0.01,0.04,0,0.46,0.48,65.34,1.46E-05,0.2668,3560,57.55,2900,14430,11530,3750,4960,13400,0.447,C:\Users\Bret Pasch\Desktop\Nikki_sq_rattles\1133\1275_1133_02082025_0838.wav,7.142,,1133
8,0.02,0.04,0.01,0.52,0.54,63.3,1.83E-05,0.2227,3750,48.71,840,19780,18930,4680,11810,14810,0.716,C:\Users\Bret Pasch\Desktop\Nikki_sq_rattles\1133\1275_1133_02082025_0838.wav,7.142,,1133
9,0.01,0.04,0,0.58,0.59,62.41,7.44E-06,0.1904,3750,53.19,840,19780,18930,4210,11250,15000,0.726,C:\Users\Bret Pasch\Desktop\Nikki_sq_rattles\1133\1275_1133_02082025_0838.wav,7.142,,1133
10,0.01,0.04,0,0.64,0.65,64.43,1.18E-05,0.2309,3650,57.74,1030,17340,16310,3840,10590,13870,0.56,C:\Users\Bret Pasch\Desktop\Nikki_sq_rattles\1133\1275_1133_02082025_0838.wav,7.142,,1133
11,0.01,0.04,0,0.69,0.7,63.64,9.86E-06,0.2347,3650,56.27,3000,15560,12560,3840,4870,13870,0.437,C:\Users\Bret Pasch\Desktop\Nikki_sq_rattles\1133\1275_1133_02082025_0838.wav,7.142,,1133
12,0.01,0.05,0,0.75,0.76,64.21,1.12E-05,0.2581,3840,54.66,840,18750,17900,4680,11810,14530,0.693,C:\Users\Bret Pasch\Desktop\Nikki_sq_rattles\1133\1275_1133_02082025_0838.wav,7.142,,1133
13,0.01,0.04,0.01,0.81,0.82,64.32,1.15E-05,0.2816,3750,50.57,840,19960,19120,4500,11250,14810,0.671,C:\Users\Bret Pasch\Desktop\Nikki_sq_rattles\1133\1275_1133_02082025_0838.wav,7.142,,1133
14,0.02,0.04,0.01,0.86,0.88,63.76,2.03E-05,0.2991,11620,50.72,840,18930,18090,4780,11900,14620,0.68,C:\Users\Bret Pasch\Desktop\Nikki_sq_rattles\1133\1275_1133_02082025_0838.wav,7.142,,1133
15,0.01,0.04,0,0.92,0.93,64.99,1.35E-05,0.2721,3750,56.48,930,17620,16680,5340,11620,13780,0.627,C:\Users\Bret Pasch\Desktop\Nikki_sq_rattles\1133\1275_1133_02082025_0838.wav,7.142,,1133
16,0.01,0.04,0.01,0.98,0.99,63.23,8.97E-06,0.2812,3560,47.68,2810,17530,14710,3840,4590,11810,0.469,C:\Users\Bret Pasch\Desktop\Nikki_sq_rattles\1133\1275_1133_02082025_0838.wav,7.142,,1133
17,0.01,0.05,0.01,1.04,1.05,65.16,1.40E-05,0.2648,11530,54.35,840,18370,17530,4500,11620,13590,0.603,C:\Users\Bret Pasch\Desktop\Nikki_sq_rattles\1133\1275_1133_02082025_0838.wav,7.142,,1133
18,0.01,0.04,0.01,1.09,1.1,64.23,1.13E-05,0.2296,3750,54.21,3000,15180,12180,3840,4590,12370,0.424,C:\Users\Bret Pasch\Desktop\Nikki_sq_rattles\1133\1275_1133_02082025_0838.wav,7.142,,1133
19,0.01,0.05,0.01,1.16,1.17,64.23,1.13E-05,0.2391,3280,51.28,840,19210,18370,4120,10500,14620,0.728,C:\Users\Bret Pasch\Desktop\Nikki_sq_rattles\1133\1275_1133_02082025_0838.wav,7.142,,1133
20,0.02,0.04,0.01,1.21,1.23,63.35,1.84E-05,0.273,11710,50.05,750,18090,17340,4680,11710,14530,0.712,C:\Users\Bret Pasch\Desktop\Nikki_sq_rattles\1133\1275_1133_02082025_0838.wav,7.142,,1133
