date,TOD,site,pit_tag,sq_ID,sex,repro_cond,midden,rattle_no,beg_time_s,end_time_s,rattledur_s,distance,angle,weight_g
6/20/2025,656,WM,982.126.053.022.490,5217,F,past.lact,6379,1,0.058,3.897,3.839,9.2,52.8,250
6/20/2025,712,WM,982.126.053.022.490,5217,F,past.lact,6379,2,0.122,6.608,6.486,10.4,49.4,250
6/20/2025,732,WM,982.126.053.022.490,5217,F,past.lact,6379,3,0.017,1.748,1.731,13.5,44.2,250
6/20/2025,740,WM,982.126.053.022.490,5217,F,past.lact,6379,4,0.036,1.311,1.275,10.7,51.2,250
6/20/2025,824,WM,982.126.053.022.490,5217,F,past.lact,6379,5,0.082,1.624,1.542,11,60,250
6/20/2025,846,WM,982.126.053.027.544,5199,M,scrotal,6380,1,0.065,1.916,1.851,9.8,49.7,260
6/20/2025,853,WM,982.126.053.027.544,5199,M,scrotal,6380,2,0.109,1.811,1.702,9.6,48.5,260
6/20/2025,913,WM,982.126.053.027.544,5199,M,scrotal,6380,3,0.06,1.65,1.59,11.9,43,260
6/20/2025,1422,WM,982.126.053.027.544,5199,M,scrotal,6380,4,0.029,1.111,1.082,7.3,54.2,260
6/20/2025,1520,WM,982.126.053.027.544,5199,M,scrotal,6380,5,0.066,7.461,7.395,8.7,65,260
6/20/2025,601,WM,982.126.053.123.330,5198,F,unk,6389,1,0.026,4.981,4.955,16.1,54,190
6/20/2025,606,WM,982.126.053.123.330,5198,F,unk,6389,2,0.034,1.515,1.481,10.2,60.4,190
6/20/2025,639,WM,982.126.053.123.330,5198,F,unk,6389,3,0.086,4.631,4.545,7.5,42,190
6/20/2025,656,WM,982.126.053.123.330,5198,F,unk,6389,4,0.085,2.021,1.936,10.1,40.4,190
6/20/2025,700,WM,982.126.053.123.330,5198,F,unk,6389,5,0.49,3.689,3.199,12.5,24.4,190
6/21/2025,520,WM,982.126.053.245.25,5204,M,part.scrotal,6390,1,0.039,4.947,4.908,15.5,61.4,240
6/20/2025,843,WM,982.126.053.245.25,5204,M,part.scrotal,6390,2,0.146,4.636,4.49,15.1,53.2,240
6/20/2025,909,WM,982.126.053.245.25,5204,M,part.scrotal,6390,3,0.085,4.664,4.579,14.5,51.1,240
6/20/2025,913,WM,982.126.053.245.25,5204,M,part.scrotal,6390,4,0.098,2.505,2.407,14.3,46.5,240
6/20/2025,1849,WM,982.126.053.245.25,5204,M,part.scrotal,6390,5,0.106,6.025,5.919,12.2,50.6,240
7/26/2025,817,WM,982.126.053.014.258,5223,M,unk,6401,1,0.082,4.016,3.934,9.3,57,210
7/26/2025,819,WM,982.126.053.014.258,5223,M,unk,6401,2,0.14,4.06,3.92,11.4,64.6,210
7/26/2025,840,WM,982.126.053.014.258,5223,M,unk,6401,3,0.053,1.614,1.561,11.8,67.1,210
7/26/2025,843,WM,982.126.053.014.258,5223,M,unk,6401,4,0.064,2.431,2.367,11.2,51.4,210
7/26/2025,906,WM,982.126.053.014.258,5223,M,unk,6401,5,0.052,9.738,9.686,8.9,1.6,210
7/30/2025,709,WM,,9012,M,unk,6405,1,0.058,2.926,2.868,8.4,4.8,190
7/30/2025,713,WM,,9012,M,unk,6405,2,0.051,1.772,1.721,8.5,3.2,190
7/30/2025,720,WM,,9012,M,unk,6405,3,0.269,2.601,2.332,8.1,5.6,190
7/30/2025,730,WM,,9012,M,unk,6405,4,0.068,2.911,2.843,8.3,3.2,190
7/30/2025,734,WM,,9012,M,unk,6405,5,0.05,3.671,3.621,8.1,4,190
7/5/2025,1658,WM,982.126.053.065.300,5206,M,part.scrotal,6409,1,0.109,5.566,5.457,11,48.5,200
7/5/2025,1709,WM,982.126.053.065.300,5206,M,part.scrotal,6409,2,0.019,0.665,0.646,10.5,12,200
7/5/2025,1717,WM,982.126.053.065.300,5206,M,part.scrotal,6409,3,0.087,0.878,0.791,14.2,20,200
7/5/2025,1720,WM,982.126.053.065.300,5206,M,part.scrotal,6409,4,0.047,3.808,3.761,11.6,15.4,200
7/5/2025,1724,WM,982.126.053.065.300,5206,M,part.scrotal,6409,5,0.063,2.408,2.345,13.8,20.6,200
6/19/2025,1807,WM,982.126.053.063.263,5205,M,part.scrotal,6410,1,0.141,2.198,2.057,17.6,24,250
6/19/2025,1814,WM,982.126.053.063.263,5205,M,part.scrotal,6410,2,0.152,3.506,3.354,11.7,53.1,250
6/19/2025,1819,WM,982.126.053.063.263,5205,M,part.scrotal,6410,3,0.106,3.015,2.909,7.5,51.4,250
6/19/2025,1826,WM,982.126.053.063.263,5205,M,part.scrotal,6410,4,0.079,2.703,2.624,7,39.7,250
6/19/2025,1840,WM,982.126.053.063.263,5205,M,part.scrotal,6410,5,0.101,2.341,2.24,16.6,17.4,250
7/5/2025,753,WM,982.126.053.029.090,5209,M,part.scrotal,6412,1,0.069,4.552,4.483,13.3,43.6,240
7/5/2025,809,WM,982.126.053.029.090,5209,M,part.scrotal,6412,2,0.031,3.837,3.806,14.2,60.8,240
7/5/2025,1427,WM,982.126.053.029.090,5209,M,part.scrotal,6412,3,0.2,4.325,4.125,11.5,55,240
7/5/2025,1458,WM,982.126.053.029.090,5209,M,part.scrotal,6412,4,0.028,1.487,1.459,11.9,52.8,240
7/5/2025,1635,WM,982.126.053.029.090,5209,M,part.scrotal,6412,5,0.119,4.817,4.698,13.6,56.8,240
7/6/2025,555,WM,982.126.053.016.225,5210,F,past.lact,6414,1,0.13,5.875,5.745,7.4,56.4,200
