"parameter","var_midden","var_resid","icc"
"min_freq_mean",142301.418076504,163619.597109076,0.465157380542099
"break_s",1.99233335262337e-05,3.6337820284337e-05,0.354122377107922
"note_rate",1.47262867006483,2.71078798548522,0.352015778325863
"quart_25_mean",496923.500759749,1694870.53786995,0.226719980071861
"entropy_mean",0.000798187913232127,0.00277335505032143,0.223485457511607
"peak_freq_mean",1601407.49341646,6169950.72837111,0.206065329600532
"bandw_mean",838851.267103545,3545684.14061734,0.191320445406002
"energy",4.92039375557924e-12,2.45392703499507e-11,0.167021380079334
"no_notes",351.564727546324,1918.09470979324,0.154897568226544
"quart_50_mean",592922.551986629,3557270.08741647,0.142866272364626
"rms",8.22355693417197,49.4053999853289,0.142698347736175
"call_duration",1.76626458805073,12.1209754551707,0.127186149483523
"disttomax",2.39717763728749e-06,1.67581971565451e-05,0.125143865003326
"peak_ampl_mean",6.13107797013239,46.8076693683388,0.115814564536869
"peaktopeak",0.000693388124304369,0.00603158008039256,0.1031065282688
"max_freq_mean",306803.509051417,3451094.70960246,0.0816423147195608
"quart_75_mean",127802.619979687,2066852.30285429,0.058233583170631
"duration",3.02071710845459e-06,8.28095367306376e-05,0.0351940833603684
