"Call Property","ICC","95% CI","ICC ","95% CI "
"Bandw Mean","0.186","[0.136, 0.619]","0.295","[0.245, 0.593]"
"Break S","0.355","[0.306, 0.650]","0.242","[0.219, 0.575]"
"Disttomax","0.138","[0.110, 0.596]","0.000","[0.000, 0.470]"
"Duration","0.057","[0.004, 0.566]","0.000","[0.000, 0.537]"
"Energy","0.145","[0.114, 0.505]","0.125","[0.064, 0.576]"
"Entropy Mean","0.208","[0.115, 0.611]","0.209","[0.200, 0.531]"
"Max Freq Mean","0.077","[0.041, 0.538]","0.284","[0.256, 0.582]"
"Min Freq Mean","0.486","[0.421, 0.760]","0.143","[0.105, 0.581]"
"Note Rate","0.155","[0.118, 0.677]","0.152","[0.127, 0.553]"
"Peak Ampl Mean","0.078","[0.055, 0.496]","0.239","[0.151, 0.633]"
"Peak Freq Mean","0.219","[0.157, 0.600]","0.244","[0.161, 0.607]"
"Peaktopeak","0.085","[0.063, 0.475]","0.231","[0.181, 0.570]"
"Quart 25 Mean","0.243","[0.163, 0.610]","0.082","[0.077, 0.558]"
"Quart 50 Mean","0.150","[0.084, 0.559]","0.329","[0.272, 0.643]"
"Quart 75 Mean","0.067","[0.043, 0.509]","0.305","[0.283, 0.607]"
"Rms","0.101","[0.068, 0.534]","0.275","[0.183, 0.626]"
