site,parameter,var_among_squirrels,var_within_squirrels,Hs
MG,call_duration,2.454021,12.533688,0.26
MG,note_rate,1.260472,6.852092,0.24
MG,duration,3e-6,8.2e-5,0.05
MG,break_s,2e-5,3.6e-5,0.63
MG,disttomax,2e-6,1.7e-5,0.19
MG,rms,8.217893,49.431832,0.22
MG,energy,0,0,0.26
MG,peaktopeak,6.93e-4,0.006036,0.16
MG,peak_freq_mean,1603557.128347,6165788.645023,0.33
MG,peak_ampl_mean,6.130519,46.832426,0.18
MG,min_freq_mean,142289.710164,163624.586297,0.9
MG,max_freq_mean,306829.426641,3452765.23444,0.12
MG,bandw_mean,839117.14849100006,3546052.033984,0.31
MG,quart_25_mean,499516.664086,1694216.036152,0.37
MG,quart_50_mean,592979.192942,3562388.587861,0.22
MG,quart_75_mean,127437.689554,2067263.94073,0.09
MG,entropy_mean,7.98e-4,0.002773,0.36
WM,call_duration,0.549794,2.63624,0.27
WM,note_rate,0.683727,3.420389,0.26
WM,duration,4e-6,7.8e-5,0.07
WM,break_s,6e-6,2e-5,0.38
WM,disttomax,0,1.3e-5,0.02
WM,rms,14.508978,39.052384000000004,0.46
WM,energy,0,0,0.2
WM,peaktopeak,0.001419,0.00474,0.38
WM,peak_freq_mean,1227488.923682,4176085.006686,0.37
WM,peak_ampl_mean,10.988822,34.441862,0.4
WM,min_freq_mean,9477.925971,56200.991445,0.22
WM,max_freq_mean,1027044.824036,2491638.180013,0.5
WM,bandw_mean,1110083.411796,2540956.743431,0.52
WM,quart_25_mean,104814.988994,1087757.618705,0.13
WM,quart_50_mean,978791.93837,1989618.576787,0.58
WM,quart_75_mean,652568.064328,1413327.53833,0.55
WM,entropy_mean,4.74e-4,0.001787,0.34
