"parameter","raw_p_value","fdr_adjusted_p","significant"
"note_rate",0.242939079699486,0.388702527519178,"No"
"duration",0.9651772130188,0.976520501862417,"No"
"break_s",0.0827808389373563,0.331123355749425,"No"
"disttomax",0.71222199837749,0.976520501862417,"No"
"rms",0.87983670834446,0.976520501862417,"No"
"energy",0.239303033057552,0.388702527519178,"No"
"peaktopeak",0.900361913183843,0.976520501862417,"No"
"peak_freq_mean",0.231452845654399,0.388702527519178,"No"
"peak_ampl_mean",0.976520501862417,0.976520501862417,"No"
"min_freq_mean",1.1978941584408e-07,1.91663065350529e-06,"Yes"
"max_freq_mean",0.130057258064729,0.388702527519178,"No"
"bandw_mean",0.00657399448254648,0.0350613039069146,"Yes"
"quart_25_mean",0.169496331318587,0.388702527519178,"No"
"quart_50_mean",0.229400896669721,0.388702527519178,"No"
"quart_75_mean",0.890704230041154,0.976520501862417,"No"
"entropy_mean",0.000647424305682249,0.00517939444545799,"Yes"
