"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17"
"call_duration",0.075284990684506,0.144588542426682,-0.362995851809742,0.24924740306818,0.236334398436008,0.82790015557076,-0.0842154054678199,0.0952184343742928,-0.117399365727734,-0.00241990628132333,-0.0659610834410866,-0.0298565960694623,0.0456572443274506,0.030163113452113,0.00771578342273887,0.0043537498152835,0.00101649742100435
"note_rate",-0.0395287539147351,-0.0989882445477315,0.155749896526801,-0.661305065115442,0.0500920053296607,0.277366303049817,-0.315837645099475,-0.549096617288443,-0.0801396029841017,-0.104856531998725,-0.117283884193503,-0.117383446377681,0.0337130921747656,0.0141832686829928,0.00390725159603052,-0.00706795509710788,-7.64965519540687e-05
"duration",-0.110773940408005,0.243335556638197,0.4071043985971,0.251445306767665,-0.308634477925006,0.179866680526355,-0.0896420941658823,-0.205316022434188,0.0270046355744483,-0.14023199984848,0.03584344352339,0.624720683189115,0.274492889670252,0.182459210453849,0.0255115362334408,-0.0224958373007504,0.00331810179121881
"break_s",0.104489868741573,0.0206071635419986,-0.404370001935189,0.42615400196488,0.101394298184615,-0.296112815016683,-0.422707380019424,-0.563053518362091,0.214481863447676,0.0069297290272947,-0.0360816022980659,0.00202758697519664,-0.00918718576333067,-0.0431222091390436,0.00658173123030246,-0.0227227964763414,0.000652461808825497
"disttomax",-0.0428583807732112,0.236869767573484,0.384618802267573,0.288550362948459,-0.396490904878881,0.173108307502693,-0.127011513022234,-0.062466475534552,0.134827954290351,-0.0651535072283802,0.0712244509516893,-0.620022494669769,-0.20276420000102,-0.21914374779842,-0.0210031115284168,0.0463531126602392,-0.00245169068052346
"rms",0.198850424178729,-0.392961365235894,0.201674866021176,0.0792138007171701,0.111298600317936,0.153629933278977,-0.0148982607390155,-0.0075943083537881,0.234726406615016,0.0676698795323198,0.32204554981132,0.0427807020955596,-0.095628815519825,-0.0372981912701251,0.0269759321383359,-0.738748869924677,0.0242958342079535
"energy",0.168523495251145,-0.362095766631144,0.202777507240805,0.251280983398446,-0.0144055833738883,-0.0497173293523166,-0.109013859337826,0.0285261851178257,-0.533458883496053,-0.10410389832266,-0.510850315627951,0.0692455921073374,0.0253915626433477,-0.390682955282023,-0.0330439219031812,-0.0727943676869551,0.000846207378909013
"peaktopeak",0.244027997306343,-0.355309245434088,0.187778776318499,0.180632941131159,0.025393448374894,-0.00964147718640961,-0.0751617691194033,0.0392691878722983,-0.00131187286226342,-0.0184045315432012,-0.124086250101903,-0.277015493902912,0.151083208163914,0.755007027078817,0.110079168888191,0.202315101490821,-0.0011844264977871
"peak_freq_mean",0.333204345382017,0.0389912476326071,-0.148875908051768,-0.135872905294657,-0.306720850071071,-0.0698400644954099,-0.40820440230477,0.223790424270594,-0.271532996043586,0.156269897798173,0.412903603562152,-0.0706202140336488,0.46640974326997,-0.0842985350383329,-0.181350865816197,0.000104150583321282,-0.00112850895954515
"peak_ampl_mean",0.144742982184778,-0.430901100688362,0.152106236049523,0.0439400700919748,0.117750300968147,0.165465905210627,-0.0339591113805159,-0.00119595149563556,0.316858580340151,0.0164155426749009,0.281103841839164,0.200652212090793,-0.0529674839023038,-0.331447851282485,-0.0524578423719185,0.624545569457997,-0.0220496462823737
"min_freq_mean",0.0365888453188623,-0.259441322414741,-0.303707661648613,0.0616701292934857,-0.4300877936715,0.0913873561624644,0.525138419006398,-0.386893161987746,-0.279129587546464,-0.170458307781543,0.256666792663601,-0.0393361598565777,-0.0503531707611409,0.0467627415681861,-0.0319847769032062,0.0212133497240351,-0.189568736243496
"max_freq_mean",0.369251441428449,0.184709768575594,0.0474288486685579,-0.0149042444609117,0.162676368550348,-0.0522190772731615,0.288245829760506,-0.127488209248721,0.00769231860830351,-0.324977001050187,0.0738801210332644,-0.0952070793335946,0.244190695700898,-0.130172508420611,0.227337092488695,0.0263163205601724,0.670368662780653
"bandw_mean",0.33346484178637,0.23837539576387,0.123379241420771,-0.0286154717663502,0.262606605641713,-0.0709340692516872,0.130696234147684,-0.0160099554777705,0.0838739650276604,-0.260866556620667,-0.00108888694602926,-0.0787316350715772,0.246446556385689,-0.127112339064585,0.228487640224214,-0.0270716623966684,-0.716579656982661
"quart_25_mean",0.343142409656343,0.0238001701110998,-0.186972608199319,-0.159487450184824,-0.277097199981571,0.00568945093525629,-0.17757987468374,0.246289477751584,0.226461026864104,-0.579871752933463,-0.170210071394312,0.167944593004673,-0.377083158386382,0.103151732723662,-0.230791504336957,-0.038379079092049,0.00106161695118338
"quart_50_mean",0.373969732614365,0.10268963149809,-0.044088700265792,-0.111811922957267,-0.280918652069596,0.0474522076992596,-0.0411555095000013,-0.0115688971985605,-0.0296640135589038,0.435459953834578,-0.100651528573216,0.168664479146752,-0.332732740319719,-0.013518286116374,0.63974307331583,0.0539654860378126,-0.000294483937919385
"quart_75_mean",0.377546103333904,0.122054612120236,0.0555041762018256,-0.0518341082894927,-0.0857538184157665,0.0676936972439742,0.308204869332969,-0.164482578988036,0.265099277822612,0.43844508825005,-0.35672814749595,0.00424008508287346,0.136359595869167,-0.010529562745739,-0.541940285002637,-0.0249150947970164,-0.00192127151478153
"entropy_mean",0.243416336736597,0.265177990329562,0.233985101207092,0.0674651511357479,0.338023691326964,-0.0790429561918159,-0.0246923028290543,-0.140714406891961,-0.440033069748953,0.061382101443153,0.327035264968881,0.0923529155742038,-0.482574620335902,0.168722297827058,-0.296759081900899,0.0885504275034635,-0.00893801014559468
"Variance",5.44497716016067,4.00255004938389,2.19662542655598,1.52782389702829,1.45010704996984,0.595189877351294,0.52561695691033,0.403719703617653,0.280827522636104,0.162967690734393,0.139406501839774,0.1195123262926,0.0689259887440574,0.0437707012266473,0.0307412070528426,0.00721812713524141,1.98133603871235e-05
"Standard deviation",2.33344748390888,2.00063741077285,1.48210169238011,1.23605173719723,1.20420390713942,0.771485500415461,0.724994453020387,0.635389411005293,0.529931620717337,0.403692569580359,0.373371801077391,0.34570554854182,0.26253759491558,0.209214486177815,0.175331705783189,0.0849595617646502,0.00445122010095249
"Proportion of Variance",0.32029,0.23544,0.12921,0.08987,0.0853,0.03501,0.03092,0.02375,0.01652,0.00959,0.0082,0.00703,0.00405,0.00257,0.00181,0.00042,0
