"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17"
"call_duration",-0.147816360765401,0.2361534378829,-0.25733837247442,-0.211123442589824,0.326357417430925,0.155458986529578,-0.787295757719519,-0.216232197978967,0.0358811724906527,-0.0607231892485332,0.0090795187541753,0.0803105831141999,-0.00701577073874044,0.0522634087996916,-0.00459938239845887,-0.00289389379498157,-0.000944343958319025
"note_rate",0.0748958176580224,-0.220502464489601,0.0523562190669931,0.567815053989205,-0.170111187308381,0.214349994132923,-0.254557036377583,-0.222409267757322,-0.625680810561792,0.0771113475346131,-0.16774412860816,-0.0418108183292261,0.0374349313519351,0.0469041191806335,0.0106629543320219,-0.0209952520711874,0.00072369321315017
"duration",0.0786667028572633,0.209678139521336,0.443483619080909,-0.344469346566053,-0.191338750993482,0.115417578863344,-0.156016390481352,0.117625329025858,-0.145391723847728,-0.0282217453493561,-0.052788745357624,-0.676632590267872,0.158929177371219,0.191778796303526,0.0179564706985938,-0.0383220903153929,-0.0043666441769315
"break_s",-0.123988041846188,0.175933048817724,-0.38013459327063,-0.304288101716944,0.270451782473379,-0.337887469201469,0.284048068672779,0.013943118885421,-0.638161173277475,0.0012027411619394,-0.172299902952682,-0.086376244083967,0.0411847056556993,0.00993021422269653,-0.0186944646011983,-0.0429836686793971,-0.000189522735016
"disttomax",0.0285081463692122,0.197835099085126,0.444744757257185,-0.344329288766165,-0.287455978592407,-0.00143294334940609,-0.0804609932927158,0.0307972926237372,-0.260941154501047,-0.0330710246835728,-0.163089728796305,0.657156026567968,-0.0206724188668383,-0.14060293296342,-0.0169124575992887,0.0741577671399801,0.00378712720563107
"rms",-0.193047439965841,-0.416463898923875,0.114401674235039,-0.0976454156098919,0.135958444430788,0.0262826113449098,-0.120954283439837,0.348849898672177,-0.0732356219194337,-0.152547966217799,0.0494415403388226,0.0770827888220615,0.0555297919391626,-0.0883673886246693,0.0164274459617429,-0.749811411099148,-0.027686546948382
"energy",-0.13687218157228,-0.361143208495646,0.200476457163075,-0.280129642671833,0.0564837427495785,-0.126037002804518,0.0438499708759256,-0.65486416320675,0.0547449260039136,0.291595113889776,-0.0267620032094499,-0.153184512628857,-0.0571168578845131,-0.383232183609268,0.13523742217801,-0.0413239636372322,0.000203446562102132
"peaktopeak",-0.217706548799169,-0.391971944849134,0.137730297673811,-0.147646409397793,0.0935372813046599,-0.0807853022968081,0.0403209361181231,-0.121781781390931,0.0345621189858021,0.0247504568977643,-0.118749232432365,0.137782895318007,-0.0924486653060161,0.791726267965921,-0.175939040350586,0.158857710758691,0.000706260935504165
"peak_freq_mean",-0.332307705989458,0.00525568730947167,-0.0842077156252923,0.0912988730537103,-0.387942677647246,-0.419791267368637,-0.111808035943755,-0.140640966615595,0.0259260692170371,-0.243947756017158,0.278794456550614,0.0430114134892217,0.571318594230826,0.0763936288264844,0.204971293950117,0.0331542060540471,-0.000200553231125208
"peak_ampl_mean",-0.155428803728695,-0.435654960816963,0.0395126696397829,-0.0960626582405011,0.163524729496242,0.0258441768554367,-0.171527158329512,0.44473452902775,-0.127422246229871,-0.0337029724130969,0.0684868517134195,-0.0763943266808416,0.103164451378638,-0.302418133604365,0.0153014911060424,0.624348103580561,0.0244038501545168
"min_freq_mean",-0.0895542678676099,-0.165013540389239,-0.365117747429452,-0.302163142459228,-0.320542801194069,0.626752320438635,0.227826525884946,-0.164685666370881,-0.0280604188478394,-0.370032480238032,-0.0244928853946341,-0.0049866751164635,0.0542848592067153,-0.0268484002457381,-0.0160009454909741,0.0260047710163428,0.15036098051346
"max_freq_mean",-0.366456561000568,0.148647287936461,0.0929978754541285,0.108113711112559,0.152583735152107,0.274501144700771,0.168919621382212,-0.023773013994399,0.0860895686208701,0.0801733766665262,-0.24663509613817,0.0221667719301354,0.329041342160302,-0.0746327373970025,-0.160157215997111,0.0274128156308532,-0.692925145125261
"bandw_mean",-0.34003661556826,0.179538180806971,0.168063322179136,0.167017358405016,0.215291769148894,0.136529673237072,0.115530672640215,0.0126614529524215,0.0943956176012939,0.160093991153031,-0.23882552626469,0.0214800352507967,0.316573713945118,-0.0592711565038283,-0.158002698626446,-0.0315651856484591,0.704109135417013
"quart_25_mean",-0.343294164904691,0.011501717775745,-0.135094135598233,0.0791804904861408,-0.337410591768725,-0.211468780887626,-0.139900523628423,0.143972760873937,0.182670933725601,-0.0968658793138107,-0.638489799197323,-0.144602095945303,-0.387027584476433,-0.0854227667844849,0.173806480947893,0.00212150253669405,0.0005778524309401
"quart_50_mean",-0.374373164750102,0.0929079804879502,-0.0323941634773622,0.0202206457383295,-0.286497400090969,-0.0502733640747533,-0.053760150501833,0.0186372958833142,-0.103060560117013,0.157928339356928,0.390741079710379,-0.0972320196796068,-0.317465831311582,-0.118081229192885,-0.669778595529938,-0.0296818855691049,-0.0011409707028849
