"parameter","raw_p_value","fdr_adjusted_p","significant"
"note_rate",0.0102620234267673,0.164192374828277,"No"
"duration",0.293643429266623,0.618198818049313,"No"
"break_s",0.189316723439237,0.575024535633669,"No"
"disttomax",0.118531400398445,0.474125601593781,"No"
"rms",0.0926761294060534,0.474125601593781,"No"
"energy",0.645566094805546,0.817529564178303,"No"
"peaktopeak",0.482868976982388,0.723147004043479,"No"
"peak_freq_mean",0.901272680956213,0.901272680956213,"No"
"peak_ampl_mean",0.0405760480355777,0.324608384284622,"No"
"min_freq_mean",0.309099409024656,0.618198818049313,"No"
"max_freq_mean",0.742876376746825,0.83514819990005,"No"
"bandw_mean",0.664242770894871,0.817529564178303,"No"
"quart_25_mean",0.497163565279892,0.723147004043479,"No"
"quart_50_mean",0.782951437406297,0.83514819990005,"No"
"quart_75_mean",0.416892274911486,0.723147004043479,"No"
"entropy_mean",0.215634200862626,0.575024535633669,"No"
