"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17"
"call_duration",0.0177194830845014,0.296096275147673,-0.0545864697479062,-0.36167921193711,0.361504622706169,0.529714980438886,0.545473190421602,-0.115801822651601,-0.214147968195411,0.0186277143377831,0.0482899189529859,0.0284669522060352,-0.0786785274437987,0.0183080460304746,-0.00353521548808358,-0.00994404428397547,0.00116607844676023
"note_rate",0.0871048537779845,-0.249468994764418,-0.34755485342525,0.487382510148107,0.127365654045259,0.13133427886325,0.106845962127151,-0.0666165872779585,-0.461727770850747,-0.0287400196019418,-0.319201124819197,-0.0769133605136029,0.371600491381385,-0.230864955500734,0.0378109715679267,-0.088671487743499,-0.00399304493226623
"duration",-0.0708144435740359,0.211276699705325,0.527127826018732,0.0409571300016822,-0.160745183760441,0.0938626979286027,0.168481797846339,0.184985968007348,0.139915404814898,-0.0379379620802811,0.118416761017465,-0.225089364887028,0.525271789645131,-0.42537267122836,0.13383402503907,-0.114358002048534,0.00246420167164371
"break_s",-0.0854080867618338,0.153287728263638,-0.215171605149397,-0.667327586653556,0.0948763134355407,-0.285200351376076,-0.354829416915756,0.0321131414649542,-0.2596370723659,0.0262143113372963,-0.231813318022974,-0.0517027946681058,0.299493187506575,-0.197529148906026,0.00274505588786908,-0.084093912159964,-0.00224298658686789
"disttomax",-0.0252517632425884,0.201023404586342,0.513328872417497,0.0534779891203557,-0.269894404246259,-0.0254496109024338,0.00625885721897348,0.0416681023238954,-0.473650453406899,-0.0100879683233605,-0.512249347468451,0.217782376876546,-0.208502459770989,0.130400021036043,-0.101216007956103,0.110915043189398,-0.00448234693598789
"rms",0.268491613114489,-0.319439363393229,0.179749063506778,-0.116041160482935,0.165441380910578,0.0753238152192951,-0.0344776152607661,0.380824275635667,-0.00785815225181351,-0.0427849008826233,-0.0616407478221169,0.147078345581168,-0.128985263616412,0.0841304969577581,0.0783520700681042,-0.736743008435383,0.0294404751623681
"energy",0.185944274284375,-0.272663745643063,0.348075216318336,-0.120833402472167,0.0890016878548045,-0.010772051994633,-0.0964969514804603,-0.711748427919238,-0.0441301739638088,0.0611411381404059,0.0533353693343281,-0.0178140165263228,0.270968494482034,0.298209675881717,0.239387649361238,-0.0536479015137945,-0.00145802609864493
"peaktopeak",0.275911224108386,-0.303948768685685,0.206682565824547,-0.110670029649033,0.144157878779566,-0.00726189621894108,-0.0377905006243401,-0.165699877815988,0.00214976866771785,0.120262131010119,-0.0547786696443679,-0.311429370420711,-0.381561725430641,-0.573282198954765,-0.34068378053655,0.148458592244811,0.000156196890266197
"peak_freq_mean",0.32349129422857,0.0405120996823523,-0.13534732472649,-0.0680252122713636,-0.391021450388128,0.280173715937182,-0.205502204259567,-0.109337680147751,-0.0931018558340056,-0.0287637874091739,0.252037730382062,0.561205786568354,-0.0429345710887183,-0.380834743789188,0.218046230129779,0.0528276676864689,0.0010911658001997
"peak_ampl_mean",0.231447238358194,-0.350591455843952,0.129486541743375,-0.158730503792712,0.227528431498431,0.151682151283868,-0.0592140831334984,0.435245479989981,0.0250077389319691,-0.200618246986339,-0.0432340694456616,0.105420424711038,0.241583937168442,0.163402117723243,0.0771053498837504,0.606881889226789,-0.0257767337628388
