"parameter","CVa","mean_CVw","PIC","partial_eta_sq"
"min_freq_mean",0.418,0.328,1.274,0.261
"break_s",0.102,0.109,0.934,0.032
"disttomax",0.427,0.481,0.889,0.001
"duration",0.285,0.335,0.852,0
"note_rate",0.117,0.139,0.844,0.015
"entropy_mean",0.059,0.076,0.769,0.118
"quart_25_mean",0.181,0.239,0.756,0.02
"bandw_mean",0.078,0.105,0.743,0.077
"peak_freq_mean",0.244,0.362,0.675,0.015
"call_duration",0.312,0.474,0.659,0.016
"quart_50_mean",0.128,0.207,0.619,0.015
"max_freq_mean",0.059,0.098,0.601,0.024
"energy",0.482,0.809,0.596,0.015
"rms",0.067,0.113,0.592,0
"peak_ampl_mean",0.075,0.134,0.561,0
"quart_75_mean",0.059,0.105,0.561,0
"peaktopeak",0.283,0.52,0.544,0.001
