site,parameter,grand_mean,grand_sd,CVa,mean_CVw,min_CVw,max_CVw,PIC,eta2
MG,call_duration,6.92,2.05,29.57,46.41,22.44,74.15,0.64,0.29
MG,no_notes,465.58,135.57,29.12,44.8,20,67.67,0.65,0.31
MG,note_rate,68.55,7.1,10.35,11.22,4.15,21.74,0.92,0.47
MG,duration,0.02,0,28.64,33.56,6.27,98.28,0.85,0.22
MG,break_s,0.05,0.01,10.22,10.95,4.88,16.27,0.93,0.47
MG,disttomax,0.01,0,42.75,48.05,22.19,111.11,0.89,0.29
MG,rms,56.73,4.25,7.5,11.7,3.52,24.18,0.64,0.3
MG,energy,0,0,48.25,80.89,45.91,162.31,0.6,0.32
MG,peaktopeak,0.14,0.04,30.1,55.73,23.09,109.68,0.54,0.27
MG,peak_freq_mean,6896.11,1683.86,24.42,36.2,7.89,75.32,0.67,0.35
MG,peak_ampl_mean,47.03,3.94,8.37,13.83,5.06,26.3,0.61,0.28
MG,min_freq_mean,1000.09,418.36,41.83,32.84,7.78,62.01,1.27,0.56
MG,max_freq_mean,16945.65,998.51,5.89,9.8,2.83,23.72,0.6,0.25
MG,bandw_mean,15934.41,1244.18,7.81,10.51,3.21,27.04,0.74,0.34
MG,quart_25_mean,5063.43,914.27,18.06,23.91,8.56,41.93,0.76,0.37
MG,quart_50_mean,8914.11,1142.09,12.81,20.7,8.72,40.48,0.62,0.3
MG,quart_75_mean,12515.43,735.64,5.88,10.66,2.62,19.95,0.55,0.24
MG,entropy_mean,0.63,0.04,5.86,7.61,3.5,19.78,0.77,0.37
WM,call_duration,3.19,1.05,33.09,47.64,15.55,96.44,0.69,0.32
WM,no_notes,244.23,73.12,29.94,45.53,13.71,86.69,0.66,0.28
WM,note_rate,78.9,7.74,9.81,10.06,2.58,25.97,0.98,0.43
WM,duration,0.02,0,28.77,36.92,8.26,122.88,0.78,0.22
WM,break_s,0.04,0,7.35,9.53,1.69,18.65,0.77,0.36
WM,disttomax,0.01,0,28.53,52.07,5.56,133.31,0.55,0.18
WM,rms,57.6,4.67,8.12,9.64,3.08,22.24,0.84,0.38
WM,energy,0,0,46.8,71.57,14.9,207.58,0.65,0.27
WM,peaktopeak,0.15,0.05,31.6,46.44,10.43,130.33,0.68,0.35
WM,peak_freq_mean,6025.54,1478.57,24.54,31.85,10.34,55.26,0.77,0.38
WM,peak_ampl_mean,47.48,4.19,8.83,11.29,2.8,25.04,0.78,0.36
WM,min_freq_mean,732.02,149.67,20.45,25.36,8.38,72.07,0.81,0.31
WM,max_freq_mean,15657.77,1199.47,7.66,9.92,3.3,14.49,0.77,0.38
WM,bandw_mean,14909.63,1236.64,8.29,10.51,3.06,15.86,0.79,0.39
WM,quart_25_mean,4439.96,598.96,13.49,20.41,4.42,48.14,0.66,0.27
WM,quart_50_mean,7377.85,1191.1,16.14,17.7,6.13,35.87,0.91,0.45
WM,quart_75_mean,10656.89,971.06,9.11,10.71,3.3,16.65,0.85,0.43
WM,entropy_mean,0.63,0.03,4.4,6.66,3.91,10.5,0.66,0.32
