"parameter","CVa","mean_CVw","PIC","partial_eta_sq"
"quart_50_mean",0.16,0.176,0.912,0.001
"rms",0.081,0.092,0.88,0.019
"quart_75_mean",0.089,0.106,0.842,0.001
"bandw_mean",0.085,0.103,0.83,0.002
"max_freq_mean",0.079,0.097,0.815,0.001
"peak_ampl_mean",0.087,0.109,0.8,0.027
"min_freq_mean",0.202,0.252,0.8,0.009
"break_s",0.074,0.095,0.786,0.016
"duration",0.288,0.369,0.78,0.01
"peak_freq_mean",0.242,0.318,0.762,0
"note_rate",0.073,0.102,0.719,0.058
"entropy_mean",0.046,0.064,0.712,0.014
"peaktopeak",0.318,0.454,0.699,0.003
"energy",0.481,0.709,0.679,0.002
"call_duration",0.321,0.48,0.669,0
"quart_25_mean",0.133,0.201,0.661,0.004
"disttomax",0.285,0.522,0.546,0.022
